BNF_CODE,CHEMICAL_SUBSTANCE_BNF_DESCR,BNF_DESCRIPTION,BNF_CHAPTER_PLUS_CODE
0601012S0BGADAL,Isophane insulin,Humulin I 100units/ml inj 3ml cartridges,06: Endocrine System
0601012Z0AAAAAA,Insulin degludec,Insulin degludec 100units/ml inj 3ml cartridges,06: Endocrine System
0601021M0BBABAM,Gliclazide,Diamicron 30mg MR tablets,06: Endocrine System
0601023X0BBAAAA,Sitagliptin,Januvia 100mg tablets,06: Endocrine System
0601040I0AAADAD,Glucose,Glucose 40% oral gel,06: Endocrine System
0604011G0AABIBI,Estradiol,Estradiol 500microgram gel sachets,06: Endocrine System
0604011G0AABTBT,Estradiol,Estradiol 1.53mg/dose transdermal spray,06: Endocrine System
0604011G0BCADBA,Estradiol,Estraderm MX 25 patches,06: Endocrine System
0604011G0BCAGBR,Estradiol,Estraderm MX 75 patches,06: Endocrine System
0604011G0BFADBN,Estradiol,Evorel 100 patches,06: Endocrine System
0604011G0BUADBH,Estradiol,Estradot 37.5micrograms/24hours patches,06: Endocrine System
0604012M0AAAFAF,Medroxyprogesterone acetate,Medroxyprogesterone 2.5mg tablets,06: Endocrine System
0702010G0AAAHAH,Estradiol,Estradiol 7.5micrograms/24hours vaginal delivery system,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
0704020ACAAAAAA,Darifenacin hydrobromide,Darifenacin 7.5mg modified-release tablets,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
0803042R0AAAAAA,Degarelix,Degarelix 80mg inj vials,08: Malignant Disease and Immunosuppression
0803043P0AAADAD,Lanreotide,Lanreotide 120mg/0.5ml inj pre-filled syringes,08: Malignant Disease and Immunosuppression
0901020D0AAAFAF,Cyanocobalamin,Cyanocobalamin 1mg tablets,09: Nutrition and Blood
090401030BFABAK,Gluten free mixes,Glutafin gluten free Select multipurpose white mix,09: Nutrition and Blood
0904010H0BJALAA,Gluten free breads,Glutafin gluten free Select fresh white loaf sliced,09: Nutrition and Blood
0904010K0BEABAF,Glucose,Lift Glucose tablets raspberry,09: Nutrition and Blood
0904010K0BEACAF,Glucose,Lift Glucose tablets blueberry,09: Nutrition and Blood
090402000BBHMA0,Enteral nutrition,Jevity Plus liquid,09: Nutrition and Blood
090402000BBTYA0,Enteral nutrition,Fresubin Jucy drink (5 flavours),09: Nutrition and Blood
0906040G0CJABEE,Colecalciferol,"Desunin 4,000unit tablets",09: Nutrition and Blood
0906040G0DFAFEQ,Colecalciferol,"InVita D3 50,000unit capsules",09: Nutrition and Blood
1001010AAAAAAAA,Meloxicam,Meloxicam 7.5mg tablets,10: Musculoskeletal and Joint Diseases
1003020P0BEAAAH,Ibuprofen,Deep Relief gel,10: Musculoskeletal and Joint Diseases
1104010I0AAADAD,Dexamethasone,Dexamethasone 0.1% eye drops,11: Eye
1104010I0AAALAL,Dexamethasone,Dexamethasone 0.1% eye dps 0.5ml unit dose preservative free,11: Eye
130201000BBAUA0,Other emollient preparations,E45 lotion,13: Skin
1302020B0BBAAAB,Benzalkonium chloride,Drapolene cream,13: Skin
1303000AAAAACAC,Menthol,Menthol 2% in Aqueous cream,13: Skin
1303000I0AAAAAA,Crotamiton,Crotamiton 10% cream,13: Skin
1304000G0BEAACD,Clobetasol propionate,Etrivex 500micrograms/g shampoo,13: Skin
1304000W0AAAAAA,Hydrocortisone butyrate,Hydrocortisone butyrate 0.1% cream,13: Skin
1304000X0AAAAAA,Hydrocortisone acetate,Hydrocortisone acetate 1% cream,13: Skin
130802000BBASA0,Other camouflage preparations,Dermacolor fixing powder,13: Skin
130802000BBATA0,Other camouflage preparations,Dermacolor camouflage creme,13: Skin
1309000X0AAAAAA,Eflornithine monohydrate chloride,Eflornithine 11.5% cream,13: Skin
20030100435,Wound Management & Other Dressings,OpSite Flexifix dressing 5cm x 1m,20: Dressings
20032100141,Wound Management & Other Dressings,Pico 7 dressing kit 15cm x 15cm,20: Dressings
20050300128,Tracheostomy & Laryngectomy Appliances,Provox HME stomafilter with XtraBase adhesive,20: Dressings
20050300136,Tracheostomy & Laryngectomy Appliances,Provox FreeHands HME silicone glue,20: Dressings
20050600005,Tracheostomy & Laryngectomy Appliances,Provox voice prosthesis cleaning brush,20: Dressings
20050600116,Tracheostomy & Laryngectomy Appliances,Provox Life Home HME filter cassette,20: Dressings
20050600127,Tracheostomy & Laryngectomy Appliances,Provox Life Stability adhesive,20: Dressings
20100000533,Surgical Adhesive Tape,Micropore tape 5cm,20: Dressings
21012500108,Other Appliances,MolluDab 5% solution,21: Appliances
21020001371,Catheters,OptiSmooth Mitro XL catheter male 10Ch-14Ch,21: Appliances
21160000091,Irrigation Solutions,Normasol sodium chloride 0.9% irrigation solution 100ml sachets,21: Appliances
21160000120,Irrigation Solutions,Octenilin irrigation solution 350ml bottles,21: Appliances
21300000315,Eye Products,Oftaox 0.25% eye drops,21: Appliances
21320000102,Inhalation Solutions,MucoClear 3% inhalation solution 4ml ampoules,21: Appliances
21320000103,Inhalation Solutions,Resp-Ease 7% inhalation solution 4ml vials,21: Appliances
21320000110,Inhalation Solutions,PulmoClear 6% inhalation solution 4ml vials,21: Appliances
22600956000,Night Drainage Bags,Prosys sterile drainable night drainage bag with slide tap,22: Incontinence Appliances
23355903605,Colostomy Bags,"Pelican ModaVi colostomy bag with filter, large 15-80mm black",23: Stoma Appliances
23804708006,Skin Fillers And Protectives,Proshield Foam & Spray skin cleanser,23: Stoma Appliances
23903459000,Stoma Caps/Dressings,Pelican Select Minuet stoma cap 10-40mm,23: Stoma Appliances
23960709603,Urostomy Bags,Nova 1 convex urostomy bag opaque 25mm,23: Stoma Appliances
23963359630,Urostomy Bags,Option Bi-Form urostomy bag 32mm opaque,23: Stoma Appliances
0102000T0BCAAAA,Peppermint oil,Mintec 0.2ml gastro-resistant capsules,01: Gastro-Intestinal System
0103050E0BBAAAA,Esomeprazole,Nexium 20mg gastro-resistant tablets (AstraZeneca),01: Gastro-Intestinal System
0103050P0AAAPAP,Omeprazole,Omeprazole 40mg dispersible gastro-resistant tablets,01: Gastro-Intestinal System
0203020R0AAABAB,Propafenone hydrochloride,Propafenone 300mg tablets,02: Cardiovascular System
20030600345,Wound Management & Other Dressings,Tegaderm Foam dressing (adhesive) 6.9cm x 7.6cm oval,20: Dressings
20030600443,Wound Management & Other Dressings,PolyMem dressing (non-adhesive) 17cm x 19cm rectangular,20: Dressings
20030600445,Wound Management & Other Dressings,PolyMem dressing 7cm x 7cm tube,20: Dressings
20030900031,Wound Management & Other Dressings,Mepilex Transfer dressing 20cm x 50cm,20: Dressings
20030900067,Wound Management & Other Dressings,Mepilex Border dressing 10cm x 12.5cm,20: Dressings
20031700169,Wound Management & Other Dressings,KerraMaxCare dressing 20cm x 30cm rectangular,20: Dressings
20050400155,Tracheostomy & Laryngectomy Appliances,Provox Swab cleaning swab medium,20: Dressings
20100000700,Surgical Adhesive Tape,Mepitac tape 2cm,20: Dressings
21011300109,Other Appliances,Premier Prestige Nitrile Blue gloves small/medium/large/extra large,21: Appliances
21012500116,Other Appliances,Sodium bicarbonate 5% ear drops (Alissa),21: Appliances
21020001249,Catheters,LoFric Primo catheter male non PVC 8Ch-18Ch,21: Appliances
21020001378,Catheters,Prosys Vesica Community Catheterisation Pack,21: Appliances
21220000133,Emollients,Ovelle emulsifying ointment,21: Appliances
21270000403,Lymphoedema Garments,Mediven Plus class 2 (23-32mmHg) thigh length open toe with silicone top band petite extra wide,21: Appliances
21300000145,Eye Products,Systane Ultra eye drops 0.7ml unit dose,21: Appliances
22300953005,Incontinence Sheaths,Prosys Flofit self adhesive sheath pop on 24mm,22: Incontinence Appliances
22800958005,Tubing And Accessories,Prosys catheter retaining strap adult,22: Incontinence Appliances
23600106359,Ileostomy Bags,"Moderma Flex soft convex ileo bag+fltr, CeraPlus s/barr, adh bdr & Lock 'n' Roll, maxi 15-55mm beige",23: Stoma Appliances
23603456340,Ileostomy Bags,"Pelican Select convex ileostomy bag with filter, maxi 12-40mm clear",23: Stoma Appliances
23801008025,Skin Fillers And Protectives,Stoma paste (coloplast),23: Stoma Appliances
23803368004,Skin Fillers And Protectives,SkinSafe non-sting protective film spray,23: Stoma Appliances
23941009384,Two Piece Ostomy Systems,SenSura Mio Click two piece ostomy system baseplate 10-35mm,23: Stoma Appliances
23960109702,Urostomy Bags,Impression C urostomy bag 19mm,23: Stoma Appliances
23960109706,Urostomy Bags,Impression C urostomy bag 32mm,23: Stoma Appliances
0105010B0BCAHBA,Mesalazine (Systemic),Pentasa 4g modified-release granules sachets,01: Gastro-Intestinal System
0106010N0BBADAF,Sterculia,Normacol Plus granules 7g sachets,01: Gastro-Intestinal System
0106020M0AAAEAE,Senna,Senna 7.5mg/5ml oral solution,01: Gastro-Intestinal System
0106040M0BBAGAH,Macrogol 3350,Movicol Liquid,01: Gastro-Intestinal System
020400040BBAAAA,Co-tenidone (Atenolol/chlortalidone),Tenoret 50mg/12.5mg tablets,02: Cardiovascular System
0204000R0AADBDB,Propranolol hydrochloride,Propranolol 40mg/5ml oral solution sugar free,02: Cardiovascular System
0205010N0AAACAC,Minoxidil,Minoxidil 10mg tablets,02: Cardiovascular System
0205040S0AAABAB,Prazosin hydrochloride,Prazosin 500microgram tablets,02: Cardiovascular System
0205051Y0AAABAB,Perindopril arginine,Perindopril arginine 5mg tablets,02: Cardiovascular System
0206010F0BWAACI,Glyceryl trinitrate,Nitromin 400micrograms/dose pump sublingual spray,02: Cardiovascular System
0206010K0AAAFAF,Isosorbide mononitrate,Isosorbide mononitrate 50mg modified-release capsules,02: Cardiovascular System
0206010K0AAAQAQ,Isosorbide mononitrate,Isosorbide mononitrate 60mg modified-release capsules,02: Cardiovascular System
0206010K0BWACAT,Isosorbide mononitrate,Isotard 25XL tablets,02: Cardiovascular System
0206010K0CKAAAE,Isosorbide mononitrate,Trangina XL 60mg tablets,02: Cardiovascular System
0206020C0BBADAE,Diltiazem hydrochloride,Tildiem LA 300 capsules,02: Cardiovascular System
0206030Y0BBAAAA,Ivabradine,Procoralan 5mg tablets,02: Cardiovascular System
0301040X0AAAAAA,Tiotropium bromide/olodaterol,Tiotropium brom 2.5microg/Olodaterol 2.5microg/dose soln&dev,03: Respiratory System
0304010E0BBABAB,Fexofenadine hydrochloride,Telfast 180mg tablets,03: Respiratory System
0307000J0BBABAC,Carbocisteine,Mucodyne 250mg/5ml syrup,03: Respiratory System
0309010X0AAALAL,Pholcodine,Pholcodine 5mg/5ml linctus sugar free,03: Respiratory System
0309020D0AAAAAA,Simple,Simple linctus,03: Respiratory System
0310000N0AAAWAW,Pseudoephedrine hydrochloride,Paracetamol 500mg / Pseudoephedrine hydrochloride 30mg tab,03: Respiratory System
040201030AAAEAE,Risperidone,Risperidone 1mg/ml oral solution sugar free,04: Central Nervous System
0403010R0AAALAL,Lofepramine hydrochloride,Lofepramine 70mg/5ml oral suspension sugar free,04: Central Nervous System
0403020K0AAAAAA,Moclobemide,Moclobemide 150mg tablets,04: Central Nervous System
0403020K0AAACAC,Moclobemide,Moclobemide 300mg tablets,04: Central Nervous System
0406000U0AAAAAA,Prochlorperazine mesilate,Prochlorperazine 5mg/5ml oral solution,04: Central Nervous System
0407010F0BGAAAF,Co-codamol (Codeine phosphate/paracetamol),Solpadol 30mg/500mg effervescent tablets,04: Central Nervous System
040702040AAAEAE,Tramadol hydrochloride,Tramadol 200mg modified-release tablets,04: Central Nervous System
0407020ADBCABAG,Oxycodone hydrochloride,OxyContin 20mg modified-release tablets,04: Central Nervous System
0407020ADBCADAI,Oxycodone hydrochloride,OxyContin 80mg modified-release tablets,04: Central Nervous System
0407020ADBCAEAK,Oxycodone hydrochloride,OxyContin 5mg modified-release tablets,04: Central Nervous System
0407020ADBFABAF,Oxycodone hydrochloride,Oxylan 10mg modified-release tablets (Chanelle Medical),04: Central Nervous System
0407020ADBLABAI,Oxycodone hydrochloride,Oxeltra 80mg modified-release tablets,04: Central Nervous System
0407020AGAAAEAE,Tapentadol hydrochloride,Tapentadol 150mg modified-release tablets,04: Central Nervous System
0407020B0BDABAF,Buprenorphine,Transtec 52.5micrograms/hour transdermal patches,04: Central Nervous System
0407020B0BDACAG,Buprenorphine,Transtec 70micrograms/hour transdermal patches,04: Central Nervous System
0407020Q0BBAEAG,Morphine sulfate,MST Continus 200mg tablets,04: Central Nervous System
0407020Q0BNAAAK,Morphine sulfate,Morphgesic SR 10mg tablets,04: Central Nervous System
0407041T0BBACAC,Sumatriptan succinate,Imigran 100mg tablets,04: Central Nervous System
0407041U0AAABAB,Tolfenamic acid,Tolfenamic acid 200mg tablets,04: Central Nervous System
0408010AHAAACAC,Lacosamide,Lacosamide 150mg tablets,04: Central Nervous System
0408010W0AAAEAE,Sodium valproate,Sodium valproate 200mg/5ml oral solution,04: Central Nervous System
0409010H0AAACAC,Ropinirole hydrochloride,Ropinirole 2mg tablets,04: Central Nervous System
0409010W0AAAFAF,Pramipexole,Pramipexole 520microgram modified-release tablets,04: Central Nervous System
0409010W0BEAAAE,Pramipexole,Pipexus 0.26mg modified-release tablets,04: Central Nervous System
0409010X0BCAGAD,Levodopa/carbidopa/entacapone,Sastravi 200mg/50mg/200mg tablets,04: Central Nervous System
0409010X0BDABAD,Levodopa/carbidopa/entacapone,Stanek 200mg/50mg/200mg tablets,04: Central Nervous System
0409030C0AAAAAA,Tetrabenazine,Tetrabenazine 25mg tablets,04: Central Nervous System
0411000F0BJACAG,Galantamine,Luventa XL 24mg capsules,04: Central Nervous System
0411000G0AAAGAG,Memantine hydrochloride,Memantine 20mg orodispersible tablets sugar free,04: Central Nervous System
0501120X0AAABAB,Levofloxacin,Levofloxacin 250mg tablets,05: Infections
0601012V0BEAAAD,Insulin glargine,Semglee 100units/ml inj 3ml pre-filled pens,06: Endocrine System
0601012X0BBACAB,Insulin detemir,Levemir InnoLet 100units/ml inj 3ml pre-filled pens,06: Endocrine System
0601023AWBCABAE,Semaglutide,Rybelsus 3mg tablets,06: Endocrine System
0601023W0AAAAAA,Metformin hydrochloride/pioglitazone,Pioglitazone 15mg / Metformin 850mg tablets,06: Endocrine System
0604020K0BHAABH,Testosterone,Testogel 50mg/5g gel sachets,06: Endocrine System
0605010S0BHAEBL,Somatropin,Omnitrope SurePal 10 10mg/1.5ml inj cartridges,06: Endocrine System
0606020T0AAAEAE,Sodium clodronate,Sodium clodronate 800mg tablets,06: Endocrine System
0704020N0AAAJAJ,Tolterodine,Tolterodine 2mg/5ml oral suspension,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
0704020Z0BBAAAA,Trospium chloride,Regurin 20mg tablets,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
0902011U0BBABAB,Potassium chloride,Kay-Cee-L syrup,09: Nutrition and Blood
090401000BBMBA0,Other food for special diet preparations,Nutriprem 2 liquid,09: Nutrition and Blood
090402000BBCJA0,Enteral nutrition,Perative liquid,09: Nutrition and Blood
090402000BBIFA0,Enteral nutrition,Infatrini liquid,09: Nutrition and Blood
090402000BBNVA0,Enteral nutrition,Jevity Promote liquid,09: Nutrition and Blood
090402000BBTPA0,Enteral nutrition,Nutilis Complete Drink Level 3 liquid (5 flavours),09: Nutrition and Blood
0905013A0BDAAAE,Magnesium aspartate,Magnaspartate (magnesium 10mmol) granules sachets,09: Nutrition and Blood
0906040G0BIAICU,Colecalciferol,"Pro D3 2,000units/ml liquid",09: Nutrition and Blood
0906040G0BWAABG,Colecalciferol,"SunVit-D3 1,000unit tablets",09: Nutrition and Blood
0906040G0CCAADS,Colecalciferol,"Pro D3 forte 3,000units/ml liquid",09: Nutrition and Blood
091101000BBUGA0,Other amino acidandnutritional agent preparations,ProSource TF liquid 45ml sachets,09: Nutrition and Blood
1001010J0AABJBJ,Ibuprofen,Ibuprofen 200mg / Pseudoephedrine hydrochloride 30mg tablets,10: Musculoskeletal and Joint Diseases
1001010J0AABNBN,Ibuprofen,Ibuprofen 200mg orodispersible tablets sugar free,10: Musculoskeletal and Joint Diseases
1003020P0BCAAAC,Ibuprofen,Ibuleve 5% gel,10: Musculoskeletal and Joint Diseases
1003020W0BBACAB,Heparinoid,Movelat Relief cream,10: Musculoskeletal and Joint Diseases
1003020W0BBADAA,Heparinoid,Movelat Relief gel,10: Musculoskeletal and Joint Diseases
1104010S0AABBBB,Prednisolone sodium phosphate,Prednisolone sodium phosphate 0.5% ear/eye drops,11: Eye
1104020W0BBAAAA,Azelastine hydrochloride,Optilast 0.05% eye drops,11: Eye
1108020AFAAAAAA,Nepafenac,Nepafenac 1mg/ml eye drops,11: Eye
1202020P0BBAIAC,Xylometazoline hydrochloride,Otrivine Adult Metered Dose 0.1% nasal spray,"12: Ear, Nose and Oropharynx"
1305020W0BBAAAA,Calcitriol,Silkis ointment,13: Skin
1309000C0BDAAAE,Coal tar,Psoriderm scalp lotion,13: Skin
1502010A0AAAAAA,Tetracaine,Tetracaine 4% gel,15: Anaesthesia
1502010J0BDAABQ,Lidocaine hydrochloride,Instillagel gel,15: Anaesthesia
190700000BBCXBA,Other base/diluent/suspending agent/stabiliser preparations,Nutilis Clear powder 1.25g sachets,19: Other Drugs and Preparations
20020200321,Arm Sling/Bandages,Crepe bandage BP 1988 5cm x 4.5m,20: Dressings
20030100368,Wound Management & Other Dressings,Zetuvit sterile dressing 20cm x 40cm,20: Dressings
20031500076,Wound Management & Other Dressings,Independence wound drainage bag with extra dressing,20: Dressings
20031700033,Wound Management & Other Dressings,Aquacel Ag dressing 5cm x 5cm square,20: Dressings
20090000453,Stockinette,Elasticated tubular bandage BP 6.75cm size C,20: Dressings
20090000510,Stockinette,Tubifast 2-way stretch stockinette 5cm,20: Dressings
20090001072,Stockinette,"Tubifast 2-way stretch stockinette gloves small/medium adult, medium/large child",20: Dressings
21010900420,Other Appliances,Hypodermic U100 ins syringe sterile single use / single patient use 1ml + not less than 12mm needle,21: Appliances
21011300110,Other Appliances,Vitrex gloves small/medium/large,21: Appliances
21160000055,Irrigation Solutions,Water for irrigation 1litre bottles,21: Appliances
21220000117,Emollients,Flexitol 10% Urea cream,21: Appliances
21220000219,Emollients,Fifty:50 ointment,21: Appliances
22300103023,Incontinence Sheaths,InView sheath standard 32mm,22: Incontinence Appliances
22302083006,Incontinence Sheaths,GB Libra latex free sheath pop on 28mm,22: Incontinence Appliances
23151061500,Adhesive Removers (Sprays/Liquids/Wipes),Independence No Sting adhesive remover wipes,23: Stoma Appliances
23801068000,Skin Fillers And Protectives,Independence No Sting barrier film wipes,23: Stoma Appliances
0102000J0AAAAAA,Dicycloverine hydrochloride,Dicycloverine 10mg/5ml oral solution,01: Gastro-Intestinal System
0106010E0BKAAAD,Ispaghula husk,Fybogel Hi-Fibre Orange 3.5g effervescent granules sachets,01: Gastro-Intestinal System
0106020C0BDAAAA,Bisacodyl,Dulcolax Adult 5mg gastro-resistant tablets,01: Gastro-Intestinal System
0107020J0BFACAE,Hydrocortisone,Uniroid HC ointment,01: Gastro-Intestinal System
0205051R0BBAIAN,Ramipril,Tritace 10mg tablets,02: Cardiovascular System
0205052A0AAACAC,Irbesartan with diuretic,Irbesartan 300mg / Hydrochlorothiazide 25mg tablets,02: Cardiovascular System
0205052I0BBABAB,Irbesartan,Aprovel 150mg tablets,02: Cardiovascular System
0301011E0BDAAAD,Formoterol fumarate,Atimos Modulite 12micrograms/dose inhaler,03: Respiratory System
0301011R0BEAMBG,Salbutamol,Ventolin 2mg/5ml syrup,03: Respiratory System
0304010ACBBAAAA,Levocetirizine,Xyzal 5mg tablets,03: Respiratory System
0304010N0AAAGAG,Diphenhydramine hydrochloride,Diphenhydramine 25mg tablets,03: Respiratory System
0401020B0AAABAB,Buspirone hydrochloride,Buspirone 10mg tablets,04: Central Nervous System
0401020E0AAAEAE,Chlordiazepoxide hydrochloride,Chlordiazepoxide 10mg capsules,04: Central Nervous System
0402010ABBHACAW,Quetiapine,Zaluron XL 200mg tablets,04: Central Nervous System
0403010X0AAAPAP,Trazodone hydrochloride,Trazodone 50mg tablets,04: Central Nervous System
0404000M0BKABAT,Methylphenidate hydrochloride,Xaggitin XL 27mg tablets,04: Central Nervous System
0407020A0BQACAF,Fentanyl,Fencino 50micrograms/hour transdermal patches,04: Central Nervous System
0407020Q0BKAEEI,Morphine sulfate,Zomorph 200mg modified-release capsules,04: Central Nervous System
0411000F0BFABAF,Galantamine,Gatalin XL 16mg capsules,04: Central Nervous System
0601011A0BDABAC,Insulin aspart,Trurapi 100units/ml inj 3ml pre-filled Solostar pens,06: Endocrine System
0601023AQAAACAC,Dulaglutide,Dulaglutide 3mg/0.5ml inj pre-filled disposable devices,06: Endocrine System
0601023Y0BCACAE,Exenatide,Bydureon BCise 2mg/0.85ml prolonged-release inj pf pens,06: Endocrine System
0601060D0BWAAA0,Glucose blood testing reagents,FreeStyle testing strips,06: Endocrine System
0604011L0AABLBL,Estradiol with progestogen,Estradiol 500micrograms / Dydrogesterone 2.5mg tablets,06: Endocrine System
0704030G0BCAAAI,Potassium citrate,Cystopurin 3g granules sachets,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
0704050B0BCAEAW,Alprostadil,Viridal Duo Continuation Pack 10microgram inj cartridges,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
0704050B0BCAFBF,Alprostadil,Viridal Duo Continuation Pack 40microgram inj cartridges,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
0803042E0BBAAAA,Cyproterone acetate,Cyprostat 50mg tablets,08: Malignant Disease and Immunosuppression
0904010H0BSACAA,Gluten free breads,Genius gluten free white sandwich bread sliced,09: Nutrition and Blood
0904010H0BTABAA,Gluten free breads,Just: Gluten Free Good white rolls,09: Nutrition and Blood
090402000BBLGA0,Enteral nutrition,Fortini Multi Fibre liquid (4 flavours),09: Nutrition and Blood
090402000BBSSA0,Enteral nutrition,Fortini Multi Fibre liquid unflavoured,09: Nutrition and Blood
0905022C0AAAEAE,Calcium acetate,Calcium acetate 950mg tablets,09: Nutrition and Blood
0906040G0AACUCU,Colecalciferol,"Colecalciferol 10,000units/5ml oral solution",09: Nutrition and Blood
0906040G0BSAABZ,Colecalciferol,Calfovit D3 oral powder sachets,09: Nutrition and Blood
0906050P0AAAFAF,Vitamin E,Vitamin E 400unit capsules,09: Nutrition and Blood
1001010C0BLAAAM,Diclofenac sodium,Arthrotec 50 gastro-resistant tablets,10: Musculoskeletal and Joint Diseases
1003020N0BIAHBA,Methyl salicylate,Deep Heat Maximum Strength cream,10: Musculoskeletal and Joint Diseases
1108010B0BCAAAB,Carbomer 940/980,GelTears 0.2% gel,11: Eye
1201030N0AAAAAA,Urea hydrogen peroxide,Urea hydrogen peroxide 5% ear drops,"12: Ear, Nose and Oropharynx"
1302011M0BKAAAI,Liquid paraffin,Doublebase emollient bath additive,13: Skin
1303000N0BDAAAB,Lidocaine,Vagisil 2% medicated cream,13: Skin
1304000V0BNAAAW,Hydrocortisone,Dermacort hydrocortisone 0.1% cream,13: Skin
1310011Y0BBAAAA,Silver sulfadiazine,Flamazine 1% cream,13: Skin
1314000H0AAAAAA,Heparinoid,Heparinoid 0.3% cream,13: Skin
1404000H0BCADAF,Influenza,Influvac sub-unit Tetra vacc inj 0.5ml pre-filled syringes,14: Immunological Products and Vaccines
20030100371,Wound Management & Other Dressings,Softpore dressing 10cm x 10cm,20: Dressings
20030100570,Wound Management & Other Dressings,Mepore Film & Pad dressing 4cm x 5cm,20: Dressings
20030600027,Wound Management & Other Dressings,Allevyn Adhesive dressing 10cm x 10cm square,20: Dressings
20030900090,Wound Management & Other Dressings,Advazorb Border dressing 7.5cm x 7.5cm,20: Dressings
20030900125,Wound Management & Other Dressings,Allevyn Gentle Border Lite dressing 5cm x 5cm,20: Dressings
20030900145,Wound Management & Other Dressings,Adaptic Touch dressing 5cm x 7.6cm,20: Dressings
20033000130,Wound Management & Other Dressings,kliniderm Film dressing 10cm x 10cm,20: Dressings
20050300121,Tracheostomy & Laryngectomy Appliances,Provox HME stomafilter with OptiDerm adhesive oval,20: Dressings
20050300250,Tracheostomy & Laryngectomy Appliances,Provox XtraMoist HME filter cassette,20: Dressings
20050600123,Tracheostomy & Laryngectomy Appliances,Provox Life Standard adhesive round,20: Dressings
20090000494,Stockinette,Acti-Fast 2-way stretch stockinette 7.5cm,20: Dressings
20100000531,Surgical Adhesive Tape,Micropore tape 1.25cm,20: Dressings
21010230121,Other Appliances,Able Spacer with mask small/medium,21: Appliances
21010230165,Other Appliances,AeroChamber Plus Flow-Vu Anti-Static,21: Appliances
21010230166,Other Appliances,AeroChamber Plus Flow-Vu Anti-Static youth 5+ years,21: Appliances
21010900556,Other Appliances,Softclix lancets 0.4mm/28gauge,21: Appliances
21010900721,Other Appliances,Unistik 3 Normal lancets 1.8mm/23gauge,21: Appliances
21010900738,Other Appliances,Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge,21: Appliances
21020001184,Catheters,SpeediCath Compact set catheter male one size (12-18Ch),21: Appliances
21020001282,Catheters,iQ Cath Gel+ catheter male 10Ch-18Ch,21: Appliances
22501005065,Leg Bags,Simpla Profile sterile leg bag 350ml tube 6cm,22: Incontinence Appliances
23050600507,Adhesive Discs/Rings/Pads/Plasters,Ostomy flange retention strip 102mm x 51mm,23: Stoma Appliances
23153361505,Adhesive Removers (Sprays/Liquids/Wipes),Lift Plus medical adhesive remover sachets,23: Stoma Appliances
23355603845,Colostomy Bags,Welland Aura colostomy bag maxi 13-60/80mm clear,23: Stoma Appliances
23600706370,Ileostomy Bags,Nova 1 Maxi EasiFold ileostomy bag with filter opaque 15-90mm,23: Stoma Appliances
23601006331,Ileostomy Bags,"SenSura ileostomy bag with dual filter, Hide-Away outlet and split cover, maxi 10-65/76mm",23: Stoma Appliances
23603456140,Ileostomy Bags,"Pelican Select Afresh ileostomy bag with filter, standard 35mm clear",23: Stoma Appliances
23850108508,Skin Protectors,Adapt barrier ring 48mm,23: Stoma Appliances
23941010104,Two Piece Ostomy Systems,SenSura Mio Concave Click two piece ostomy system baseplate 60mm 10-55mm,23: Stoma Appliances
23941010108,Two Piece Ostomy Systems,SenSura Mio Click two piece ostomy system urostomy bag maxi 60mm neutral grey,23: Stoma Appliances
0101012B0AAABAB,Sodium bicarbonate,Sodium bicarbonate 420mg/5ml (1mol/ml) soln sugar free,01: Gastro-Intestinal System
0103010N0AAABAB,Nizatidine,Nizatidine 300mg capsules,01: Gastro-Intestinal System
0105010B0AAAKAK,Mesalazine (Systemic),Mesalazine 1g/application foam enema,01: Gastro-Intestinal System
0109010U0AABEBE,Ursodeoxycholic acid,Ursodeoxycholic acid 250mg/5ml oral suspension sugar free,01: Gastro-Intestinal System
0205010N0AAAAAA,Minoxidil,Minoxidil 2.5mg tablets,02: Cardiovascular System
0206020C0BFAEAV,Diltiazem hydrochloride,Adizem-SR 180mg capsules,02: Cardiovascular System
0304010W0BBABAL,Promethazine hydrochloride,Phenergan 25mg tablets,03: Respiratory System
0309020D0AAAFAF,Simple,Simple linctus paediatric sugar free,03: Respiratory System
0402010ABAAAYAY,Quetiapine,Quetiapine 400mg modified-release tablets,04: Central Nervous System
0403040W0AAATAT,Venlafaxine,Venlafaxine 225mg modified-release capsules,04: Central Nervous System
0404000U0AAACAC,Lisdexamfetamine dimesylate,Lisdexamfetamine 40mg capsules,04: Central Nervous System
040702040AAAFAF,Tramadol hydrochloride,Tramadol 50mg soluble tablets sugar free,04: Central Nervous System
0407020ADAAAEAE,Oxycodone hydrochloride,Oxycodone 20mg capsules,04: Central Nervous System
0407020ADAAASAS,Oxycodone hydrochloride,Oxycodone 15mg modified-release tablets,04: Central Nervous System
0407020ADBEAAAK,Oxycodone hydrochloride,Longtec 5mg modified-release tablets,04: Central Nervous System
